street,transport_class,countline_date,countline_hour,iso_dow,hour_of_week,is_weekend,total_count,active_countlines
Abel Smith St,Bus,2026-04-04,23,6,143,true,1,1
Abel Smith St,Bus,2026-04-05,8,7,152,true,1,1
Abel Smith St,Bus,2026-04-05,9,7,153,true,2,1
Abel Smith St,Bus,2026-04-05,10,7,154,true,1,1
Abel Smith St,Bus,2026-04-05,11,7,155,true,1,1
Abel Smith St,Bus,2026-04-05,12,7,156,true,1,1
Abel Smith St,Bus,2026-04-05,13,7,157,true,2,1
Abel Smith St,Bus,2026-04-05,14,7,158,true,2,1
Abel Smith St,Bus,2026-04-05,15,7,159,true,4,1
Abel Smith St,Bus,2026-04-05,16,7,160,true,1,1
Abel Smith St,Bus,2026-04-06,8,1,8,false,1,1
Abel Smith St,Bus,2026-04-06,9,1,9,false,2,1
Abel Smith St,Bus,2026-04-06,12,1,12,false,1,1
Abel Smith St,Bus,2026-04-06,13,1,13,false,1,1
Abel Smith St,Bus,2026-04-06,14,1,14,false,4,1
Abel Smith St,Bus,2026-04-06,17,1,17,false,2,1
Abel Smith St,Bus,2026-04-06,18,1,18,false,2,1
Abel Smith St,Bus,2026-04-07,6,2,30,false,1,1
Abel Smith St,Bus,2026-04-07,7,2,31,false,1,1
Abel Smith St,Bus,2026-04-07,8,2,32,false,2,1
Abel Smith St,Bus,2026-04-07,9,2,33,false,2,1
Abel Smith St,Bus,2026-04-07,10,2,34,false,5,1
Abel Smith St,Bus,2026-04-07,11,2,35,false,5,1
Abel Smith St,Bus,2026-04-07,12,2,36,false,2,1
Abel Smith St,Bus,2026-04-07,13,2,37,false,5,1
Abel Smith St,Bus,2026-04-07,14,2,38,false,3,1
Abel Smith St,Bus,2026-04-07,15,2,39,false,3,1
Abel Smith St,Bus,2026-04-07,16,2,40,false,4,1
Abel Smith St,Bus,2026-04-07,17,2,41,false,1,1
Abel Smith St,Bus,2026-04-07,18,2,42,false,5,1
Abel Smith St,Bus,2026-04-07,19,2,43,false,1,1
Abel Smith St,Bus,2026-04-07,20,2,44,false,1,1
Abel Smith St,Bus,2026-04-07,22,2,46,false,2,1
Abel Smith St,Bus,2026-04-08,6,3,54,false,3,1
Abel Smith St,Bus,2026-04-08,8,3,56,false,5,1
Abel Smith St,Bus,2026-04-08,9,3,57,false,4,1
Abel Smith St,Bus,2026-04-08,10,3,58,false,1,1
Abel Smith St,Bus,2026-04-08,11,3,59,false,1,1
Abel Smith St,Bus,2026-04-08,12,3,60,false,4,1
Abel Smith St,Bus,2026-04-08,13,3,61,false,3,1
Abel Smith St,Bus,2026-04-08,14,3,62,false,7,1
Abel Smith St,Bus,2026-04-08,15,3,63,false,2,1
Abel Smith St,Bus,2026-04-08,17,3,65,false,4,1
Abel Smith St,Bus,2026-04-08,18,3,66,false,2,1
Abel Smith St,Bus,2026-04-08,22,3,70,false,1,1
Abel Smith St,Bus,2026-04-09,2,4,74,false,2,1
Abel Smith St,Bus,2026-04-09,6,4,78,false,1,1
Abel Smith St,Bus,2026-04-09,7,4,79,false,2,1
Abel Smith St,Bus,2026-04-09,8,4,80,false,8,1
Abel Smith St,Bus,2026-04-09,9,4,81,false,8,1
Abel Smith St,Bus,2026-04-09,10,4,82,false,6,1
Abel Smith St,Bus,2026-04-09,11,4,83,false,6,1
Abel Smith St,Bus,2026-04-09,12,4,84,false,2,1
Abel Smith St,Bus,2026-04-09,13,4,85,false,6,1
Abel Smith St,Bus,2026-04-09,14,4,86,false,5,1
Abel Smith St,Bus,2026-04-09,15,4,87,false,3,1
Abel Smith St,Bus,2026-04-09,16,4,88,false,4,1
Abel Smith St,Bus,2026-04-09,17,4,89,false,3,1
Abel Smith St,Bus,2026-04-09,18,4,90,false,1,1
Abel Smith St,Bus,2026-04-09,21,4,93,false,1,1
Abel Smith St,Bus,2026-04-09,22,4,94,false,1,1
Abel Smith St,Bus,2026-04-10,6,5,102,false,1,1
Abel Smith St,Bus,2026-04-10,7,5,103,false,6,1
Abel Smith St,Bus,2026-04-10,8,5,104,false,3,1
Abel Smith St,Bus,2026-04-10,9,5,105,false,3,1
Abel Smith St,Bus,2026-04-10,10,5,106,false,3,1
Abel Smith St,Bus,2026-04-10,11,5,107,false,6,1
Abel Smith St,Bus,2026-04-10,12,5,108,false,3,1
Abel Smith St,Bus,2026-04-10,13,5,109,false,8,1
Abel Smith St,Bus,2026-04-10,14,5,110,false,6,1
Abel Smith St,Bus,2026-04-10,15,5,111,false,2,1
Abel Smith St,Bus,2026-04-10,16,5,112,false,3,1
Abel Smith St,Bus,2026-04-10,17,5,113,false,2,1
Abel Smith St,Bus,2026-04-10,18,5,114,false,1,1
Abel Smith St,Bus,2026-04-11,4,6,124,true,1,1
Abel Smith St,Bus,2026-04-11,7,6,127,true,1,1
Abel Smith St,Bus,2026-04-11,8,6,128,true,3,1
Abel Smith St,Bus,2026-04-11,9,6,129,true,3,1
Abel Smith St,Bus,2026-04-11,10,6,130,true,4,1
Abel Smith St,Bus,2026-04-11,11,6,131,true,1,1
Abel Smith St,Bus,2026-04-11,12,6,132,true,1,1
Abel Smith St,Bus,2026-04-11,13,6,133,true,2,1
Abel Smith St,Bus,2026-04-11,14,6,134,true,2,1
Abel Smith St,Bus,2026-04-11,15,6,135,true,4,1
Abel Smith St,Bus,2026-04-11,16,6,136,true,3,1
Abel Smith St,Bus,2026-04-11,17,6,137,true,2,1
Abel Smith St,Bus,2026-04-11,20,6,140,true,2,1
Abel Smith St,Bus,2026-04-12,0,7,144,true,1,1
Abel Smith St,Bus,2026-04-12,8,7,152,true,2,1
Abel Smith St,Bus,2026-04-12,9,7,153,true,1,1
Abel Smith St,Bus,2026-04-12,10,7,154,true,4,1
Abel Smith St,Bus,2026-04-12,11,7,155,true,2,1
Abel Smith St,Bus,2026-04-12,12,7,156,true,2,1
Abel Smith St,Bus,2026-04-12,13,7,157,true,4,1
Abel Smith St,Bus,2026-04-12,14,7,158,true,3,1
Abel Smith St,Bus,2026-04-12,15,7,159,true,2,1
Abel Smith St,Bus,2026-04-12,16,7,160,true,2,1
Abel Smith St,Bus,2026-04-12,17,7,161,true,2,1
Abel Smith St,Bus,2026-04-12,18,7,162,true,1,1
Abel Smith St,Bus,2026-04-12,20,7,164,true,1,1
Abel Smith St,Bus,2026-04-13,6,1,6,false,3,1
Abel Smith St,Bus,2026-04-13,7,1,7,false,3,1
Abel Smith St,Bus,2026-04-13,8,1,8,false,6,1
Abel Smith St,Bus,2026-04-13,9,1,9,false,4,1
Abel Smith St,Bus,2026-04-13,10,1,10,false,4,1
Abel Smith St,Bus,2026-04-13,11,1,11,false,2,1
Abel Smith St,Bus,2026-04-13,12,1,12,false,3,1
Abel Smith St,Bus,2026-04-13,13,1,13,false,1,1
Abel Smith St,Bus,2026-04-13,14,1,14,false,4,1
Abel Smith St,Bus,2026-04-13,15,1,15,false,8,1
Abel Smith St,Bus,2026-04-13,16,1,16,false,7,1
Abel Smith St,Bus,2026-04-13,17,1,17,false,1,1
Abel Smith St,Bus,2026-04-13,18,1,18,false,1,1
Abel Smith St,Bus,2026-04-13,19,1,19,false,1,1
Abel Smith St,Bus,2026-04-13,21,1,21,false,2,1
Abel Smith St,Bus,2026-04-14,3,2,27,false,1,1
Abel Smith St,Bus,2026-04-14,6,2,30,false,2,1
Abel Smith St,Bus,2026-04-14,7,2,31,false,4,1
Abel Smith St,Bus,2026-04-14,8,2,32,false,5,1
Abel Smith St,Bus,2026-04-14,9,2,33,false,2,1
Abel Smith St,Bus,2026-04-14,10,2,34,false,6,1
Abel Smith St,Bus,2026-04-14,11,2,35,false,7,1
Abel Smith St,Bus,2026-04-14,12,2,36,false,8,1
Abel Smith St,Bus,2026-04-14,13,2,37,false,6,1
Abel Smith St,Bus,2026-04-14,14,2,38,false,15,1
Abel Smith St,Bus,2026-04-14,15,2,39,false,2,1
Abel Smith St,Bus,2026-04-14,16,2,40,false,1,1
Abel Smith St,Bus,2026-04-14,17,2,41,false,2,1
Abel Smith St,Bus,2026-04-14,18,2,42,false,1,1
Abel Smith St,Bus,2026-04-15,6,3,54,false,2,1
Abel Smith St,Bus,2026-04-15,7,3,55,false,8,1
Abel Smith St,Bus,2026-04-15,8,3,56,false,6,1
Abel Smith St,Bus,2026-04-15,9,3,57,false,4,1
Abel Smith St,Bus,2026-04-15,10,3,58,false,1,1
Abel Smith St,Bus,2026-04-15,11,3,59,false,7,1
Abel Smith St,Bus,2026-04-15,12,3,60,false,5,1
Abel Smith St,Bus,2026-04-15,13,3,61,false,9,1
Abel Smith St,Bus,2026-04-15,14,3,62,false,4,1
Abel Smith St,Bus,2026-04-15,15,3,63,false,8,1
Abel Smith St,Bus,2026-04-15,16,3,64,false,2,1
Abel Smith St,Bus,2026-04-15,17,3,65,false,3,1
Abel Smith St,Bus,2026-04-15,18,3,66,false,5,1
Abel Smith St,Bus,2026-04-15,19,3,67,false,1,1
Abel Smith St,Bus,2026-04-16,7,4,79,false,3,1
Abel Smith St,Bus,2026-04-16,8,4,80,false,2,1
Abel Smith St,Bus,2026-04-16,9,4,81,false,3,1
Abel Smith St,Bus,2026-04-16,10,4,82,false,3,1
Abel Smith St,Bus,2026-04-16,11,4,83,false,5,1
Abel Smith St,Bus,2026-04-16,12,4,84,false,3,1
Abel Smith St,Bus,2026-04-16,13,4,85,false,4,1
Abel Smith St,Bus,2026-04-16,14,4,86,false,8,1
Abel Smith St,Bus,2026-04-16,15,4,87,false,5,1
Abel Smith St,Bus,2026-04-16,16,4,88,false,3,1
Abel Smith St,Bus,2026-04-16,17,4,89,false,2,1
Abel Smith St,Bus,2026-04-16,18,4,90,false,4,1
Abel Smith St,Bus,2026-04-16,20,4,92,false,1,1
Abel Smith St,Bus,2026-04-16,21,4,93,false,1,1
Abel Smith St,Bus,2026-04-17,0,5,96,false,1,1
Abel Smith St,Bus,2026-04-17,7,5,103,false,1,1
Abel Smith St,Bus,2026-04-17,8,5,104,false,6,1
Abel Smith St,Bus,2026-04-17,9,5,105,false,2,1
Abel Smith St,Bus,2026-04-17,10,5,106,false,4,1
Abel Smith St,Bus,2026-04-17,11,5,107,false,1,1
Abel Smith St,Bus,2026-04-17,12,5,108,false,3,1
Abel Smith St,Bus,2026-04-17,13,5,109,false,11,1
Abel Smith St,Bus,2026-04-17,14,5,110,false,6,1
Abel Smith St,Bus,2026-04-17,15,5,111,false,7,1
Abel Smith St,Bus,2026-04-17,16,5,112,false,1,1
Abel Smith St,Bus,2026-04-17,17,5,113,false,2,1
Abel Smith St,Bus,2026-04-17,20,5,116,false,1,1
Abel Smith St,Bus,2026-04-18,7,6,127,true,3,1
Abel Smith St,Bus,2026-04-18,10,6,130,true,1,1
Abel Smith St,Bus,2026-04-18,11,6,131,true,2,1
Abel Smith St,Bus,2026-04-18,12,6,132,true,1,1
Abel Smith St,Bus,2026-04-18,13,6,133,true,2,1
Abel Smith St,Bus,2026-04-18,14,6,134,true,2,1
Abel Smith St,Bus,2026-04-18,15,6,135,true,1,1
Abel Smith St,Bus,2026-04-18,17,6,137,true,2,1
Abel Smith St,Bus,2026-04-18,18,6,138,true,2,1
Abel Smith St,Bus,2026-04-19,8,7,152,true,1,1
Abel Smith St,Bus,2026-04-19,9,7,153,true,2,1
Abel Smith St,Bus,2026-04-19,10,7,154,true,1,1
Abel Smith St,Bus,2026-04-19,11,7,155,true,3,1
Abel Smith St,Bus,2026-04-19,13,7,157,true,5,1
Abel Smith St,Bus,2026-04-19,14,7,158,true,3,1
Abel Smith St,Bus,2026-04-19,15,7,159,true,1,1
Abel Smith St,Bus,2026-04-19,16,7,160,true,2,1
Abel Smith St,Bus,2026-04-19,17,7,161,true,1,1
Abel Smith St,Bus,2026-04-19,18,7,162,true,1,1
Abel Smith St,Bus,2026-04-19,19,7,163,true,1,1
Abel Smith St,Bus,2026-04-19,20,7,164,true,1,1
Abel Smith St,Bus,2026-04-19,23,7,167,true,1,1
Abel Smith St,Bus,2026-04-20,6,1,6,false,2,1
Abel Smith St,Bus,2026-04-20,7,1,7,false,4,1
Abel Smith St,Bus,2026-04-20,8,1,8,false,2,1
Abel Smith St,Bus,2026-04-20,9,1,9,false,2,1
Abel Smith St,Bus,2026-04-20,10,1,10,false,6,1
Abel Smith St,Bus,2026-04-20,11,1,11,false,9,1
Abel Smith St,Bus,2026-04-20,12,1,12,false,5,1
Abel Smith St,Bus,2026-04-20,13,1,13,false,5,1
Abel Smith St,Bus,2026-04-20,14,1,14,false,4,1
Abel Smith St,Bus,2026-04-20,15,1,15,false,5,1
Abel Smith St,Bus,2026-04-20,16,1,16,false,6,1
Abel Smith St,Bus,2026-04-20,17,1,17,false,4,1
Abel Smith St,Bus,2026-04-20,19,1,19,false,2,1
Abel Smith St,Bus,2026-04-20,21,1,21,false,1,1
Abel Smith St,Bus,2026-04-21,6,2,30,false,1,1
Abel Smith St,Bus,2026-04-21,7,2,31,false,5,1
Abel Smith St,Bus,2026-04-21,8,2,32,false,1,1
Abel Smith St,Bus,2026-04-21,10,2,34,false,4,2
Abel Smith St,Bus,2026-04-21,12,2,36,false,3,1
Abel Smith St,Bus,2026-04-21,14,2,38,false,3,1
Abel Smith St,Bus,2026-04-21,15,2,39,false,5,1
Abel Smith St,Bus,2026-04-21,18,2,42,false,3,1
Abel Smith St,Bus,2026-04-22,7,3,55,false,6,1
Abel Smith St,Bus,2026-04-22,8,3,56,false,10,1
Abel Smith St,Bus,2026-04-22,9,3,57,false,6,1
Abel Smith St,Bus,2026-04-22,10,3,58,false,2,1
Abel Smith St,Bus,2026-04-22,11,3,59,false,6,1
Abel Smith St,Bus,2026-04-22,12,3,60,false,4,1
Abel Smith St,Bus,2026-04-22,13,3,61,false,2,1
Abel Smith St,Bus,2026-04-22,14,3,62,false,8,1
Abel Smith St,Bus,2026-04-22,15,3,63,false,5,1
Abel Smith St,Bus,2026-04-22,16,3,64,false,4,1
Abel Smith St,Bus,2026-04-22,18,3,66,false,1,1
Abel Smith St,Bus,2026-04-22,20,3,68,false,1,1
Abel Smith St,Bus,2026-04-23,7,4,79,false,4,1
Abel Smith St,Bus,2026-04-23,9,4,81,false,4,1
Abel Smith St,Bus,2026-04-23,10,4,82,false,5,1
Abel Smith St,Bus,2026-04-23,11,4,83,false,11,1
Abel Smith St,Bus,2026-04-23,12,4,84,false,8,1
Abel Smith St,Bus,2026-04-23,13,4,85,false,7,1
Abel Smith St,Bus,2026-04-23,14,4,86,false,8,1
Abel Smith St,Bus,2026-04-23,15,4,87,false,6,1
Abel Smith St,Bus,2026-04-23,16,4,88,false,6,1
Abel Smith St,Bus,2026-04-23,17,4,89,false,7,1
Abel Smith St,Bus,2026-04-23,18,4,90,false,2,1
Abel Smith St,Bus,2026-04-23,21,4,93,false,1,1
Abel Smith St,Bus,2026-04-24,7,5,103,false,3,1
Abel Smith St,Bus,2026-04-24,8,5,104,false,4,1
Abel Smith St,Bus,2026-04-24,9,5,105,false,3,1
Abel Smith St,Bus,2026-04-24,10,5,106,false,5,1
Abel Smith St,Bus,2026-04-24,11,5,107,false,3,1
Abel Smith St,Bus,2026-04-24,12,5,108,false,7,1
Abel Smith St,Bus,2026-04-24,13,5,109,false,6,1
Abel Smith St,Bus,2026-04-24,14,5,110,false,6,1
Abel Smith St,Bus,2026-04-24,15,5,111,false,4,1
Abel Smith St,Bus,2026-04-24,16,5,112,false,3,1
Abel Smith St,Bus,2026-04-24,17,5,113,false,3,1
Abel Smith St,Bus,2026-04-24,18,5,114,false,3,1
Abel Smith St,Bus,2026-04-24,20,5,116,false,1,1
Abel Smith St,Bus,2026-04-24,21,5,117,false,1,1
Abel Smith St,Bus,2026-04-24,23,5,119,false,1,1
Abel Smith St,Bus,2026-04-25,7,6,127,true,1,1
Abel Smith St,Bus,2026-04-25,9,6,129,true,1,1
Abel Smith St,Bus,2026-04-25,10,6,130,true,1,1
Abel Smith St,Bus,2026-04-25,11,6,131,true,2,1
Abel Smith St,Bus,2026-04-25,12,6,132,true,1,1
Abel Smith St,Bus,2026-04-25,13,6,133,true,2,1
Abel Smith St,Bus,2026-04-25,14,6,134,true,3,1
Abel Smith St,Bus,2026-04-25,15,6,135,true,2,1
Abel Smith St,Bus,2026-04-25,16,6,136,true,3,1
Abel Smith St,Bus,2026-04-25,17,6,137,true,1,1
Abel Smith St,Bus,2026-04-25,19,6,139,true,2,1
Abel Smith St,Bus,2026-04-25,23,6,143,true,2,1
Abel Smith St,Bus,2026-04-26,9,7,153,true,2,1
Abel Smith St,Bus,2026-04-26,10,7,154,true,1,1
Abel Smith St,Bus,2026-04-26,11,7,155,true,2,1
Abel Smith St,Bus,2026-04-26,12,7,156,true,1,1
Abel Smith St,Bus,2026-04-26,13,7,157,true,4,1
Abel Smith St,Bus,2026-04-26,14,7,158,true,2,1
Abel Smith St,Bus,2026-04-26,15,7,159,true,3,1
Abel Smith St,Bus,2026-04-26,16,7,160,true,1,1
Abel Smith St,Bus,2026-04-27,1,1,1,false,1,1
Abel Smith St,Bus,2026-04-27,9,1,9,false,2,1
Abel Smith St,Bus,2026-04-27,10,1,10,false,4,1
Abel Smith St,Bus,2026-04-27,11,1,11,false,2,1
Abel Smith St,Bus,2026-04-27,12,1,12,false,3,1
Abel Smith St,Bus,2026-04-27,13,1,13,false,1,1
Abel Smith St,Bus,2026-04-27,14,1,14,false,5,1
Abel Smith St,Bus,2026-04-27,15,1,15,false,3,1
Abel Smith St,Bus,2026-04-27,16,1,16,false,4,1
Abel Smith St,Bus,2026-04-27,17,1,17,false,3,1
Abel Smith St,Bus,2026-04-27,18,1,18,false,1,1
Abel Smith St,Bus,2026-04-28,5,2,29,false,1,1
Abel Smith St,Bus,2026-04-28,6,2,30,false,1,1
Abel Smith St,Bus,2026-04-28,7,2,31,false,6,1
Abel Smith St,Bus,2026-04-28,8,2,32,false,7,1
Abel Smith St,Bus,2026-04-28,9,2,33,false,1,1
Abel Smith St,Bus,2026-04-28,10,2,34,false,8,1
Abel Smith St,Bus,2026-04-28,11,2,35,false,1,1
Abel Smith St,Bus,2026-04-28,12,2,36,false,11,1
Abel Smith St,Bus,2026-04-28,13,2,37,false,7,1
Abel Smith St,Bus,2026-04-28,14,2,38,false,4,1
Abel Smith St,Bus,2026-04-28,15,2,39,false,4,1
Abel Smith St,Bus,2026-04-28,16,2,40,false,7,1
Abel Smith St,Bus,2026-04-28,17,2,41,false,2,1
Abel Smith St,Bus,2026-04-28,18,2,42,false,1,1
Abel Smith St,Bus,2026-04-28,19,2,43,false,2,1
Abel Smith St,Bus,2026-04-29,5,3,53,false,3,1
Abel Smith St,Bus,2026-04-29,7,3,55,false,5,1
Abel Smith St,Bus,2026-04-29,8,3,56,false,2,1
Abel Smith St,Bus,2026-04-29,9,3,57,false,10,1
Abel Smith St,Bus,2026-04-29,10,3,58,false,7,1
Abel Smith St,Bus,2026-04-29,11,3,59,false,7,1
Abel Smith St,Bus,2026-04-29,12,3,60,false,4,1
Abel Smith St,Bus,2026-04-29,13,3,61,false,6,1
Abel Smith St,Bus,2026-04-29,14,3,62,false,3,1
Abel Smith St,Bus,2026-04-29,15,3,63,false,2,1
Abel Smith St,Bus,2026-04-29,16,3,64,false,11,1
Abel Smith St,Bus,2026-04-29,17,3,65,false,1,1
Abel Smith St,Bus,2026-04-29,20,3,68,false,2,1
Abel Smith St,Bus,2026-04-30,6,4,78,false,1,1
Abel Smith St,Bus,2026-04-30,7,4,79,false,6,1
Abel Smith St,Bus,2026-04-30,8,4,80,false,2,1
Abel Smith St,Bus,2026-04-30,9,4,81,false,7,1
Abel Smith St,Bus,2026-04-30,10,4,82,false,2,1
Abel Smith St,Bus,2026-04-30,11,4,83,false,4,1
Abel Smith St,Bus,2026-04-30,12,4,84,false,6,1
Abel Smith St,Bus,2026-04-30,13,4,85,false,5,1
Abel Smith St,Bus,2026-04-30,14,4,86,false,7,1
Abel Smith St,Bus,2026-04-30,15,4,87,false,1,1
Abel Smith St,Bus,2026-04-30,16,4,88,false,7,1
Abel Smith St,Bus,2026-04-30,18,4,90,false,2,1
Abel Smith St,Bus,2026-04-30,20,4,92,false,1,1
Abel Smith St,Bus,2026-04-30,23,4,95,false,1,1
Abel Smith St,Car,2026-04-01,0,3,48,false,6,1
Abel Smith St,Car,2026-04-01,1,3,49,false,6,1
Abel Smith St,Car,2026-04-01,2,3,50,false,6,1
Abel Smith St,Car,2026-04-01,3,3,51,false,4,1
Abel Smith St,Car,2026-04-01,4,3,52,false,6,1
Abel Smith St,Car,2026-04-01,5,3,53,false,15,1
Abel Smith St,Car,2026-04-01,6,3,54,false,51,1
Abel Smith St,Car,2026-04-01,7,3,55,false,144,1
Abel Smith St,Car,2026-04-01,8,3,56,false,299,1
Abel Smith St,Car,2026-04-01,9,3,57,false,207,1
Abel Smith St,Car,2026-04-01,10,3,58,false,122,1
Abel Smith St,Car,2026-04-01,11,3,59,false,123,1
Abel Smith St,Car,2026-04-01,12,3,60,false,129,1
Abel Smith St,Car,2026-04-01,13,3,61,false,123,1
Abel Smith St,Car,2026-04-01,14,3,62,false,145,2
Abel Smith St,Car,2026-04-01,15,3,63,false,135,3
Abel Smith St,Car,2026-04-01,16,3,64,false,132,1
Abel Smith St,Car,2026-04-01,17,3,65,false,160,1
Abel Smith St,Car,2026-04-01,18,3,66,false,186,1
Abel Smith St,Car,2026-04-01,19,3,67,false,132,1
Abel Smith St,Car,2026-04-01,20,3,68,false,104,1
Abel Smith St,Car,2026-04-01,21,3,69,false,93,1
Abel Smith St,Car,2026-04-01,22,3,70,false,54,1
Abel Smith St,Car,2026-04-01,23,3,71,false,18,1
Abel Smith St,Car,2026-04-02,0,4,72,false,13,1
Abel Smith St,Car,2026-04-02,1,4,73,false,11,1
Abel Smith St,Car,2026-04-02,2,4,74,false,7,1
Abel Smith St,Car,2026-04-02,3,4,75,false,7,1
Abel Smith St,Car,2026-04-02,4,4,76,false,11,1
Abel Smith St,Car,2026-04-02,5,4,77,false,25,1
Abel Smith St,Car,2026-04-02,6,4,78,false,50,1
Abel Smith St,Car,2026-04-02,7,4,79,false,153,1
Abel Smith St,Car,2026-04-02,8,4,80,false,309,1
Abel Smith St,Car,2026-04-02,9,4,81,false,191,1
Abel Smith St,Car,2026-04-02,10,4,82,false,144,1
Abel Smith St,Car,2026-04-02,11,4,83,false,125,1
Abel Smith St,Car,2026-04-02,12,4,84,false,129,2
Abel Smith St,Car,2026-04-02,13,4,85,false,140,1
Abel Smith St,Car,2026-04-02,14,4,86,false,167,1
Abel Smith St,Car,2026-04-02,15,4,87,false,174,1
Abel Smith St,Car,2026-04-02,16,4,88,false,148,1
Abel Smith St,Car,2026-04-02,17,4,89,false,191,1
Abel Smith St,Car,2026-04-02,18,4,90,false,152,1
Abel Smith St,Car,2026-04-02,19,4,91,false,129,1
Abel Smith St,Car,2026-04-02,20,4,92,false,124,1
Abel Smith St,Car,2026-04-02,21,4,93,false,119,1
Abel Smith St,Car,2026-04-02,22,4,94,false,62,1
Abel Smith St,Car,2026-04-02,23,4,95,false,40,1
Abel Smith St,Car,2026-04-03,0,5,96,false,24,1
Abel Smith St,Car,2026-04-03,1,5,97,false,19,1
Abel Smith St,Car,2026-04-03,2,5,98,false,4,1
Abel Smith St,Car,2026-04-03,3,5,99,false,8,1
Abel Smith St,Car,2026-04-03,4,5,100,false,7,1
Abel Smith St,Car,2026-04-03,5,5,101,false,13,1
Abel Smith St,Car,2026-04-03,6,5,102,false,17,1
Abel Smith St,Car,2026-04-03,7,5,103,false,28,1
Abel Smith St,Car,2026-04-03,8,5,104,false,71,2
Abel Smith St,Car,2026-04-03,9,5,105,false,74,1
Abel Smith St,Car,2026-04-03,10,5,106,false,82,1
Abel Smith St,Car,2026-04-03,11,5,107,false,88,1
Abel Smith St,Car,2026-04-03,12,5,108,false,92,2
Abel Smith St,Car,2026-04-03,13,5,109,false,103,1
Abel Smith St,Car,2026-04-03,14,5,110,false,93,1
Abel Smith St,Car,2026-04-03,15,5,111,false,101,1
Abel Smith St,Car,2026-04-03,16,5,112,false,120,1
Abel Smith St,Car,2026-04-03,17,5,113,false,112,1
Abel Smith St,Car,2026-04-03,18,5,114,false,107,1
Abel Smith St,Car,2026-04-03,19,5,115,false,89,1
Abel Smith St,Car,2026-04-03,20,5,116,false,100,1
Abel Smith St,Car,2026-04-03,21,5,117,false,80,1
Abel Smith St,Car,2026-04-03,22,5,118,false,70,1
Abel Smith St,Car,2026-04-03,23,5,119,false,36,1
Abel Smith St,Car,2026-04-04,0,6,120,true,34,1
Abel Smith St,Car,2026-04-04,1,6,121,true,8,1
Abel Smith St,Car,2026-04-04,2,6,122,true,11,1
Abel Smith St,Car,2026-04-04,3,6,123,true,9,1
Abel Smith St,Car,2026-04-04,4,6,124,true,7,1
Abel Smith St,Car,2026-04-04,5,6,125,true,8,1
Abel Smith St,Car,2026-04-04,6,6,126,true,15,1
Abel Smith St,Car,2026-04-04,7,6,127,true,24,1
Abel Smith St,Car,2026-04-04,8,6,128,true,63,1
Abel Smith St,Car,2026-04-04,9,6,129,true,78,2
