cell_id,cell_lat,cell_lon,event_date,event_hour,sensor_hits,metlink_hits,nzta_hits,total_hits,sources_hit,max_sev_rank,sources
"-41.14,174.84",-41.14,174.84,2026-04-21,20,0,5,5,10,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-03,18,0,4,6,10,2,3,"metlink, nzta"
"-41.27,174.78",-41.27,174.78,2026-04-06,19,0,7,3,10,2,3,"metlink, nzta"
"-41.27,174.78",-41.27,174.78,2026-04-03,21,0,6,4,10,2,3,"metlink, nzta"
"-41.29,174.78",-41.29,174.78,2026-04-21,15,6,4,0,10,2,2,"metlink, sensors"
"-41.21,174.82",-41.21,174.82,2026-04-21,11,0,7,3,10,2,3,"metlink, nzta"
"-41.22,174.81",-41.22,174.81,2026-04-21,7,0,9,1,10,2,3,"metlink, nzta"
"-41.28,174.78",-41.28,174.78,2026-04-06,8,1,9,0,10,2,2,"metlink, sensors"
"-41.14,174.84",-41.14,174.84,2026-04-13,7,0,9,1,10,2,3,"metlink, nzta"
"-41.21,174.82",-41.21,174.82,2026-04-27,13,0,8,1,9,2,3,"metlink, nzta"
"-41.27,174.78",-41.27,174.78,2026-04-20,16,0,8,1,9,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-27,12,0,6,3,9,2,3,"metlink, nzta"
"-41.22,174.81",-41.22,174.81,2026-04-20,16,0,8,1,9,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-21,18,0,4,5,9,2,3,"metlink, nzta"
"-40.91,175.0",-40.91,175.0,2026-04-20,16,0,6,3,9,2,3,"metlink, nzta"
"-41.3,174.78",-41.3,174.78,2026-04-21,16,1,8,0,9,2,3,"metlink, sensors"
"-41.25,174.81",-41.25,174.81,2026-04-21,7,0,8,1,9,2,3,"metlink, nzta"
"-41.21,174.82",-41.21,174.82,2026-04-12,23,0,8,1,9,2,2,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-20,16,0,7,2,9,2,3,"metlink, nzta"
"-41.3,174.78",-41.3,174.78,2026-04-10,11,1,8,0,9,2,2,"metlink, sensors"
"-41.22,174.88",-41.22,174.88,2026-04-21,7,0,4,5,9,2,3,"metlink, nzta"
"-41.28,174.77",-41.28,174.77,2026-04-20,13,0,6,3,9,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-03,17,0,3,6,9,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-06,14,0,5,3,8,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-03,9,0,2,6,8,2,3,"metlink, nzta"
"-40.91,175.0",-40.91,175.0,2026-04-21,16,0,4,4,8,2,3,"metlink, nzta"
"-40.91,175.0",-40.91,175.0,2026-04-06,11,0,3,5,8,2,3,"metlink, nzta"
"-41.28,174.78",-41.28,174.78,2026-04-13,18,1,7,0,8,2,3,"metlink, sensors"
"-41.27,174.78",-41.27,174.78,2026-04-03,16,4,0,4,8,2,3,"nzta, sensors"
"-41.14,174.84",-41.14,174.84,2026-04-03,14,0,2,6,8,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-03,15,0,2,6,8,2,3,"metlink, nzta"
"-41.21,174.82",-41.21,174.82,2026-04-03,13,0,5,3,8,2,3,"metlink, nzta"
"-41.22,174.88",-41.22,174.88,2026-04-21,16,0,3,5,8,2,3,"metlink, nzta"
"-41.28,174.78",-41.28,174.78,2026-04-20,22,1,7,0,8,2,2,"metlink, sensors"
"-41.14,174.84",-41.14,174.84,2026-04-03,7,0,2,6,8,2,3,"metlink, nzta"
"-41.3,174.78",-41.3,174.78,2026-04-02,16,1,7,0,8,2,3,"metlink, sensors"
"-41.14,174.84",-41.14,174.84,2026-04-03,10,0,2,6,8,2,3,"metlink, nzta"
"-41.28,174.77",-41.28,174.77,2026-04-03,13,0,3,5,8,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-03,20,0,2,6,8,2,3,"metlink, nzta"
"-41.29,174.78",-41.29,174.78,2026-04-20,19,4,4,0,8,2,2,"metlink, sensors"
"-41.27,174.78",-41.27,174.78,2026-04-03,13,4,0,4,8,2,3,"nzta, sensors"
"-41.14,174.84",-41.14,174.84,2026-04-03,11,0,2,6,8,2,3,"metlink, nzta"
"-41.28,174.77",-41.28,174.77,2026-04-21,9,0,4,4,8,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-03,16,0,2,6,8,2,3,"metlink, nzta"
"-40.91,175.0",-40.91,175.0,2026-04-06,13,0,3,5,8,2,3,"metlink, nzta"
"-41.27,174.78",-41.27,174.78,2026-04-21,17,0,4,4,8,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-03,8,0,2,6,8,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-03,19,0,2,6,8,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-03,13,0,2,6,8,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-06,18,0,5,3,8,2,3,"metlink, nzta"
"-41.23,174.81",-41.23,174.81,2026-04-20,7,0,4,4,8,2,3,"metlink, nzta"
"-41.28,174.77",-41.28,174.77,2026-04-27,14,0,3,5,8,2,3,"metlink, nzta"
"-41.29,174.78",-41.29,174.78,2026-04-20,18,7,1,0,8,2,2,"metlink, sensors"
"-41.29,174.78",-41.29,174.78,2026-04-10,20,2,6,0,8,2,3,"metlink, sensors"
"-41.22,174.81",-41.22,174.81,2026-04-21,16,0,7,1,8,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-03,12,0,2,6,8,2,3,"metlink, nzta"
"-41.22,174.81",-41.22,174.81,2026-04-03,17,0,7,1,8,2,3,"metlink, nzta"
"-41.28,174.78",-41.28,174.78,2026-04-21,14,1,7,0,8,2,2,"metlink, sensors"
"-41.32,174.81",-41.32,174.81,2026-04-11,0,0,6,1,7,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-14,7,0,6,1,7,2,3,"metlink, nzta"
"-41.28,174.77",-41.28,174.77,2026-04-21,19,0,3,4,7,2,3,"metlink, nzta"
"-41.29,174.78",-41.29,174.78,2026-04-21,11,2,5,0,7,2,2,"metlink, sensors"
"-41.27,174.78",-41.27,174.78,2026-04-21,18,0,3,4,7,2,3,"metlink, nzta"
"-41.21,174.82",-41.21,174.82,2026-04-06,14,0,4,3,7,2,3,"metlink, nzta"
"-41.32,174.81",-41.32,174.81,2026-04-27,11,1,6,0,7,2,2,"metlink, sensors"
"-41.14,174.84",-41.14,174.84,2026-04-21,8,0,2,5,7,2,3,"metlink, nzta"
"-41.29,174.78",-41.29,174.78,2026-04-21,13,2,5,0,7,2,2,"metlink, sensors"
"-41.3,174.78",-41.3,174.78,2026-04-21,15,1,6,0,7,2,3,"metlink, sensors"
"-41.28,174.78",-41.28,174.78,2026-04-06,15,1,6,0,7,2,3,"metlink, sensors"
"-41.14,174.84",-41.14,174.84,2026-04-21,17,0,2,5,7,2,3,"metlink, nzta"
"-41.28,174.77",-41.28,174.77,2026-04-27,11,0,2,5,7,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-21,21,0,2,5,7,2,3,"metlink, nzta"
"-40.76,175.16",-40.76,175.16,2026-04-02,19,0,6,1,7,2,3,"metlink, nzta"
"-41.16,174.98",-41.16,174.98,2026-04-20,15,0,6,1,7,2,3,"metlink, nzta"
"-40.91,175.0",-40.91,175.0,2026-04-20,13,0,4,3,7,2,3,"metlink, nzta"
"-40.91,175.0",-40.91,175.0,2026-04-06,17,0,2,5,7,2,3,"metlink, nzta"
"-41.27,174.78",-41.27,174.78,2026-04-03,14,3,0,4,7,2,3,"nzta, sensors"
"-41.27,174.78",-41.27,174.78,2026-04-25,22,0,6,1,7,2,3,"metlink, nzta"
"-41.21,174.82",-41.21,174.82,2026-04-03,11,0,4,3,7,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-20,20,0,5,2,7,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-20,19,0,5,2,7,2,3,"metlink, nzta"
"-41.23,174.81",-41.23,174.81,2026-04-03,19,0,2,5,7,2,3,"metlink, nzta"
"-41.28,174.78",-41.28,174.78,2026-04-21,6,1,6,0,7,2,3,"metlink, sensors"
"-41.14,174.84",-41.14,174.84,2026-04-21,23,0,2,5,7,2,3,"metlink, nzta"
"-41.29,174.78",-41.29,174.78,2026-04-10,11,1,6,0,7,2,2,"metlink, sensors"
"-41.14,174.84",-41.14,174.84,2026-04-21,22,0,2,5,7,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-21,6,0,2,5,7,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-06,16,0,4,3,7,2,3,"metlink, nzta"
"-41.27,174.78",-41.27,174.78,2026-04-03,10,3,0,4,7,2,3,"nzta, sensors"
"-41.29,174.78",-41.29,174.78,2026-04-21,12,5,2,0,7,2,2,"metlink, sensors"
"-41.27,174.78",-41.27,174.78,2026-04-03,12,3,0,4,7,2,3,"nzta, sensors"
"-41.28,174.78",-41.28,174.78,2026-04-06,10,1,6,0,7,2,3,"metlink, sensors"
"-41.14,174.84",-41.14,174.84,2026-04-20,18,0,5,2,7,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-05,20,0,4,2,6,2,3,"metlink, nzta"
"-40.91,175.0",-40.91,175.0,2026-04-06,14,0,1,5,6,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-13,20,0,5,1,6,2,3,"metlink, nzta"
"-41.27,174.78",-41.27,174.78,2026-04-12,1,0,5,1,6,2,3,"metlink, nzta"
"-41.23,174.81",-41.23,174.81,2026-04-21,7,0,2,4,6,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-13,19,0,5,1,6,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-12,10,0,5,1,6,2,3,"metlink, nzta"
"-41.19,174.83",-41.19,174.83,2026-04-21,7,0,2,4,6,2,3,"metlink, nzta"
"-41.23,174.81",-41.23,174.81,2026-04-03,22,0,1,5,6,2,3,"metlink, nzta"
"-41.23,174.81",-41.23,174.81,2026-04-21,16,0,2,4,6,2,3,"metlink, nzta"
"-40.91,175.0",-40.91,175.0,2026-04-20,7,0,3,3,6,2,3,"metlink, nzta"
"-41.22,174.88",-41.22,174.88,2026-04-06,15,0,1,5,6,2,3,"metlink, nzta"
"-41.28,174.77",-41.28,174.77,2026-04-27,18,0,1,5,6,2,3,"metlink, nzta"
"-41.3,174.78",-41.3,174.78,2026-04-03,13,0,5,1,6,2,3,"metlink, nzta"
"-41.21,174.82",-41.21,174.82,2026-04-27,12,0,5,1,6,2,2,"metlink, nzta"
"-41.28,174.77",-41.28,174.77,2026-04-21,13,0,2,4,6,2,3,"metlink, nzta"
"-41.27,174.78",-41.27,174.78,2026-04-03,11,2,0,4,6,2,3,"nzta, sensors"
"-41.31,174.78",-41.31,174.78,2026-04-21,8,1,5,0,6,2,2,"metlink, sensors"
"-41.28,174.77",-41.28,174.77,2026-04-03,1,1,0,5,6,2,3,"nzta, sensors"
"-41.22,174.88",-41.22,174.88,2026-04-03,20,0,1,5,6,2,3,"metlink, nzta"
"-40.91,175.0",-40.91,175.0,2026-04-20,14,0,3,3,6,2,3,"metlink, nzta"
"-41.3,174.78",-41.3,174.78,2026-04-03,21,0,5,1,6,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-05,11,0,4,2,6,2,3,"metlink, nzta"
"-41.22,174.88",-41.22,174.88,2026-04-21,6,0,1,5,6,2,3,"metlink, nzta"
"-41.27,174.78",-41.27,174.78,2026-04-03,9,2,0,4,6,2,3,"nzta, sensors"
"-41.14,174.84",-41.14,174.84,2026-04-06,19,0,3,3,6,2,3,"metlink, nzta"
"-41.28,174.77",-41.28,174.77,2026-04-20,7,0,3,3,6,2,3,"metlink, nzta"
"-40.76,175.16",-40.76,175.16,2026-04-27,8,0,4,2,6,2,3,"metlink, nzta"
"-41.28,174.77",-41.28,174.77,2026-04-06,15,0,1,5,6,2,3,"metlink, nzta"
"-41.19,174.83",-41.19,174.83,2026-04-03,18,0,2,4,6,2,3,"metlink, nzta"
"-41.22,174.88",-41.22,174.88,2026-04-27,9,0,1,5,6,2,3,"metlink, nzta"
"-41.29,174.78",-41.29,174.78,2026-04-20,17,1,5,0,6,2,3,"metlink, sensors"
"-41.13,174.84",-41.13,174.84,2026-04-03,7,0,3,3,6,2,3,"metlink, nzta"
"-41.22,174.88",-41.22,174.88,2026-04-21,13,0,1,5,6,2,3,"metlink, nzta"
"-41.22,174.88",-41.22,174.88,2026-04-21,21,0,1,5,6,2,3,"metlink, nzta"
"-41.22,174.88",-41.22,174.88,2026-04-03,13,0,1,5,6,2,3,"metlink, nzta"
"-41.29,174.78",-41.29,174.78,2026-04-21,14,5,1,0,6,2,2,"metlink, sensors"
"-41.28,174.77",-41.28,174.77,2026-04-21,17,0,2,4,6,2,3,"metlink, nzta"
"-41.23,174.81",-41.23,174.81,2026-04-06,17,0,1,5,6,2,3,"metlink, nzta"
"-40.91,175.0",-40.91,175.0,2026-04-24,16,0,5,1,6,2,2,"metlink, nzta"
"-41.27,174.78",-41.27,174.78,2026-04-03,15,2,0,4,6,2,3,"nzta, sensors"
"-41.28,174.78",-41.28,174.78,2026-04-20,20,2,4,0,6,2,2,"metlink, sensors"
"-41.14,174.84",-41.14,174.84,2026-04-14,20,0,5,1,6,2,3,"metlink, nzta"
"-41.29,174.75",-41.29,174.75,2026-04-21,16,1,5,0,6,2,2,"metlink, sensors"
"-41.22,174.88",-41.22,174.88,2026-04-20,16,0,2,4,6,2,3,"metlink, nzta"
"-41.23,174.81",-41.23,174.81,2026-04-03,8,0,1,5,6,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-14,19,0,5,1,6,2,3,"metlink, nzta"
"-40.91,175.0",-40.91,175.0,2026-04-02,7,0,5,1,6,2,3,"metlink, nzta"
"-41.22,174.88",-41.22,174.88,2026-04-06,9,0,1,5,6,2,3,"metlink, nzta"
"-41.29,174.78",-41.29,174.78,2026-04-10,10,3,3,0,6,2,2,"metlink, sensors"
"-41.28,174.78",-41.28,174.78,2026-04-20,14,1,5,0,6,2,3,"metlink, sensors"
"-41.21,174.82",-41.21,174.82,2026-04-21,16,0,3,3,6,2,3,"metlink, nzta"
"-41.27,174.78",-41.27,174.78,2026-04-21,9,0,2,4,6,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-05,12,0,4,2,6,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-27,11,0,3,3,6,2,3,"metlink, nzta"
"-41.22,174.88",-41.22,174.88,2026-04-27,12,0,1,5,6,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-13,23,0,5,1,6,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-21,15,0,1,5,6,2,3,"metlink, nzta"
"-41.22,174.81",-41.22,174.81,2026-04-03,20,0,5,1,6,2,3,"metlink, nzta"
"-41.22,174.81",-41.22,174.81,2026-04-06,20,0,5,1,6,2,3,"metlink, nzta"
"-41.21,174.82",-41.21,174.82,2026-04-21,7,0,3,3,6,2,3,"metlink, nzta"
"-40.91,175.0",-40.91,175.0,2026-04-02,16,0,5,1,6,2,3,"metlink, nzta"
"-41.23,174.81",-41.23,174.81,2026-04-06,7,0,1,5,6,2,3,"metlink, nzta"
"-41.22,174.88",-41.22,174.88,2026-04-21,12,0,1,5,6,2,3,"metlink, nzta"
"-41.33,174.77",-41.33,174.77,2026-04-21,16,1,5,0,6,2,3,"metlink, sensors"
"-41.22,174.88",-41.22,174.88,2026-04-06,19,0,1,5,6,2,3,"metlink, nzta"
"-41.31,174.78",-41.31,174.78,2026-04-21,15,1,5,0,6,2,2,"metlink, sensors"
"-41.22,174.88",-41.22,174.88,2026-04-06,2,0,1,5,6,2,3,"metlink, nzta"
"-41.28,174.77",-41.28,174.77,2026-04-03,2,1,0,5,6,2,3,"nzta, sensors"
"-41.14,174.84",-41.14,174.84,2026-04-25,18,0,5,1,6,2,3,"metlink, nzta"
"-41.25,174.81",-41.25,174.81,2026-04-20,7,0,5,1,6,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-05,13,0,3,2,5,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-27,10,0,2,3,5,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-27,18,0,2,3,5,2,3,"metlink, nzta"
"-41.22,174.88",-41.22,174.88,2026-04-20,7,0,1,4,5,2,3,"metlink, nzta"
"-41.3,174.78",-41.3,174.78,2026-04-03,17,0,4,1,5,2,3,"metlink, nzta"
"-41.27,174.78",-41.27,174.78,2026-04-20,22,0,4,1,5,2,2,"metlink, nzta"
"-41.23,174.81",-41.23,174.81,2026-04-27,22,0,1,4,5,2,3,"metlink, nzta"
"-41.23,174.81",-41.23,174.81,2026-04-21,11,0,1,4,5,2,3,"metlink, nzta"
"-41.19,174.83",-41.19,174.83,2026-04-21,14,1,0,4,5,2,3,"nzta, sensors"
"-41.22,174.81",-41.22,174.81,2026-04-27,13,0,4,1,5,2,3,"metlink, nzta"
"-41.27,174.78",-41.27,174.78,2026-04-03,0,1,0,4,5,2,3,"nzta, sensors"
"-41.14,174.84",-41.14,174.84,2026-04-06,15,0,2,3,5,2,3,"metlink, nzta"
"-41.25,174.81",-41.25,174.81,2026-04-20,11,0,4,1,5,2,3,"metlink, nzta"
"-41.19,174.83",-41.19,174.83,2026-04-21,12,1,0,4,5,2,3,"nzta, sensors"
"-41.19,174.83",-41.19,174.83,2026-04-21,15,0,1,4,5,2,3,"metlink, nzta"
"-41.19,174.83",-41.19,174.83,2026-04-03,15,1,0,4,5,2,3,"nzta, sensors"
"-41.14,174.84",-41.14,174.84,2026-04-06,20,0,2,3,5,2,3,"metlink, nzta"
"-41.27,174.78",-41.27,174.78,2026-04-06,17,0,2,3,5,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-13,17,0,4,1,5,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-13,18,0,4,1,5,2,3,"metlink, nzta"
"-41.3,174.78",-41.3,174.78,2026-04-06,19,0,4,1,5,2,3,"metlink, nzta"
"-41.23,174.81",-41.23,174.81,2026-04-20,9,0,1,4,5,2,3,"metlink, nzta"
"-41.21,174.82",-41.21,174.82,2026-04-27,17,0,4,1,5,2,2,"metlink, nzta"
"-41.28,174.78",-41.28,174.78,2026-04-03,14,3,2,0,5,2,2,"metlink, sensors"
"-41.19,174.83",-41.19,174.83,2026-04-21,10,1,0,4,5,2,3,"nzta, sensors"
"-41.28,174.77",-41.28,174.77,2026-04-20,17,0,2,3,5,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-05,16,0,3,2,5,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-27,14,0,2,3,5,2,3,"metlink, nzta"
"-41.19,174.83",-41.19,174.83,2026-04-03,10,1,0,4,5,2,3,"nzta, sensors"
"-41.3,174.78",-41.3,174.78,2026-04-03,2,4,0,1,5,2,3,"nzta, sensors"
"-41.19,174.83",-41.19,174.83,2026-04-27,8,1,0,4,5,2,3,"nzta, sensors"
"-41.25,174.81",-41.25,174.81,2026-04-06,11,0,4,1,5,2,3,"metlink, nzta"
"-40.91,175.0",-40.91,175.0,2026-04-02,14,0,4,1,5,2,3,"metlink, nzta"
"-41.22,174.81",-41.22,174.81,2026-04-06,18,0,4,1,5,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-12,12,0,4,1,5,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-06,13,0,2,3,5,2,3,"metlink, nzta"
"-41.23,174.81",-41.23,174.81,2026-04-20,17,0,1,4,5,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-06,8,0,2,3,5,2,3,"metlink, nzta"
"-41.29,174.78",-41.29,174.78,2026-04-27,7,1,4,0,5,2,2,"metlink, sensors"
"-41.14,174.84",-41.14,174.84,2026-04-06,12,0,2,3,5,2,3,"metlink, nzta"
"-41.22,174.89",-41.22,174.89,2026-04-20,17,0,4,1,5,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-05,14,0,3,2,5,2,3,"metlink, nzta"
"-41.22,174.86",-41.22,174.86,2026-04-21,7,0,1,4,5,2,3,"metlink, nzta"
"-41.27,174.78",-41.27,174.78,2026-04-25,19,0,4,1,5,2,2,"metlink, nzta"
"-41.19,174.83",-41.19,174.83,2026-04-03,12,1,0,4,5,2,3,"nzta, sensors"
"-41.23,174.81",-41.23,174.81,2026-04-20,16,0,1,4,5,2,3,"metlink, nzta"
"-40.91,175.0",-40.91,175.0,2026-04-27,13,0,1,4,5,2,3,"metlink, nzta"
"-41.29,174.77",-41.29,174.77,2026-04-21,15,3,2,0,5,2,2,"metlink, sensors"
"-41.14,174.84",-41.14,174.84,2026-04-05,9,0,3,2,5,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-06,9,0,2,3,5,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-06,17,0,2,3,5,2,3,"metlink, nzta"
"-41.29,174.78",-41.29,174.78,2026-04-20,20,3,2,0,5,2,2,"metlink, sensors"
"-41.3,174.78",-41.3,174.78,2026-04-06,18,0,4,1,5,2,2,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-12,9,0,4,1,5,2,3,"metlink, nzta"
"-41.23,174.81",-41.23,174.81,2026-04-21,17,0,1,4,5,2,3,"metlink, nzta"
"-41.19,174.83",-41.19,174.83,2026-04-03,8,1,0,4,5,2,3,"nzta, sensors"
"-40.91,175.0",-40.91,175.0,2026-04-24,11,0,4,1,5,2,2,"metlink, nzta"
"-41.13,174.84",-41.13,174.84,2026-04-03,8,0,2,3,5,2,3,"metlink, nzta"
"-41.19,174.83",-41.19,174.83,2026-04-21,13,1,0,4,5,2,3,"nzta, sensors"
"-41.19,174.83",-41.19,174.83,2026-04-27,7,1,0,4,5,2,3,"nzta, sensors"
"-41.22,174.88",-41.22,174.88,2026-04-20,19,0,1,4,5,2,3,"metlink, nzta"
"-40.91,175.0",-40.91,175.0,2026-04-12,7,0,2,3,5,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-27,17,0,2,3,5,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-06,10,0,2,3,5,2,3,"metlink, nzta"
"-41.19,174.83",-41.19,174.83,2026-04-06,17,0,2,3,5,2,3,"metlink, nzta"
"-41.28,174.77",-41.28,174.77,2026-04-21,6,0,1,4,5,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-27,9,0,2,3,5,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-27,15,0,2,3,5,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-27,16,0,2,3,5,2,3,"metlink, nzta"
"-41.32,174.8",-41.32,174.8,2026-04-24,15,1,4,0,5,2,2,"metlink, sensors"
"-41.28,174.77",-41.28,174.77,2026-04-21,7,0,1,4,5,2,3,"metlink, nzta"
