truth_id,episode_type,route_id,route_short_name,mode,service_date,start_hour,duration_mins,magnitude,window_start_local,window_end_local,is_synthetic,FREQUENCY_CLASS
TRUTH_0063,DWELL_SPIKE,5300,530,OTHER,2026-04-04,10,90,1.6,2026-04-04 10:00:00,2026-04-04 11:30:00,true,INFREQUENT
TRUTH_0075,DWELL_SPIKE,2030,203,BUS,2026-04-11,9,90,2.3,2026-04-11 09:00:00,2026-04-11 10:30:00,true,INFREQUENT
TRUTH_0048,INCIDENT_DELAY,9310,931,OTHER,2026-04-03,18,90,4.8,2026-04-03 18:00:00,2026-04-03 19:30:00,true,INFREQUENT
TRUTH_0071,TRUNCATION,1210,121,BUS,2026-04-20,11,120,1.7,2026-04-20 11:00:00,2026-04-20 13:00:00,true,STANDARD
TRUTH_0032,CANCELLATION,9150,915,OTHER,2026-04-28,11,30,2.3,2026-04-28 11:00:00,2026-04-28 11:30:00,true,INFREQUENT
TRUTH_0082,GPS_FAULT,5070,507,OTHER,2026-04-01,16,30,4.7,2026-04-01 16:00:00,2026-04-01 16:30:00,true,INFREQUENT
TRUTH_0007,BUNCHING,9110,911,OTHER,2026-04-30,16,60,5.5,2026-04-30 16:00:00,2026-04-30 17:00:00,true,INFREQUENT
TRUTH_0047,TRUNCATION,7400,740,OTHER,2026-04-26,18,60,4.4,2026-04-26 18:00:00,2026-04-26 19:00:00,true,INFREQUENT
TRUTH_0027,DWELL_SPIKE,580,58,BUS,2026-04-20,14,90,4.6,2026-04-20 14:00:00,2026-04-20 15:30:00,true,STANDARD
TRUTH_0024,INCIDENT_DELAY,4,WRL,RAIL,2026-04-12,15,150,2.0,2026-04-12 15:00:00,2026-04-12 17:30:00,true,INFREQUENT
TRUTH_0039,DWELL_SPIKE,7110,711,OTHER,2026-04-06,15,90,4.3,2026-04-06 15:00:00,2026-04-06 16:30:00,true,INFREQUENT
TRUTH_0079,BUNCHING,300,30x,BUS,2026-04-03,11,30,5.9,2026-04-03 11:00:00,2026-04-03 11:30:00,true,STANDARD
TRUTH_0062,CANCELLATION,2620,262,BUS,2026-04-08,6,90,4.6,2026-04-08 06:00:00,2026-04-08 07:30:00,true,FREQUENT
TRUTH_0034,GPS_FAULT,2260,226,BUS,2026-04-14,19,150,4.1,2026-04-14 19:00:00,2026-04-14 21:30:00,true,STANDARD
TRUTH_0066,INCIDENT_DELAY,7390,739,OTHER,2026-04-26,19,120,4.2,2026-04-26 19:00:00,2026-04-26 21:00:00,true,INFREQUENT
TRUTH_0052,GPS_FAULT,360,36,BUS,2026-04-23,19,30,4.3,2026-04-23 19:00:00,2026-04-23 19:30:00,true,STANDARD
TRUTH_0029,TRUNCATION,310,31x,BUS,2026-04-14,18,90,3.8,2026-04-14 18:00:00,2026-04-14 19:30:00,true,STANDARD
TRUTH_0044,CANCELLATION,2020,202,BUS,2026-04-28,19,90,6.0,2026-04-28 19:00:00,2026-04-28 20:30:00,true,INFREQUENT
TRUTH_0038,CANCELLATION,69,JVM,BUS,2026-04-23,19,120,2.6,2026-04-23 19:00:00,2026-04-23 21:00:00,true,STANDARD
TRUTH_0086,CANCELLATION,200,20,BUS,2026-04-10,6,150,2.4,2026-04-10 06:00:00,2026-04-10 08:30:00,true,STANDARD
TRUTH_0012,INCIDENT_DELAY,1540,154,BUS,2026-04-12,9,90,5.5,2026-04-12 09:00:00,2026-04-12 10:30:00,true,STANDARD
TRUTH_0083,TRUNCATION,570,57,BUS,2026-04-28,18,120,3.5,2026-04-28 18:00:00,2026-04-28 20:00:00,true,STANDARD
TRUTH_0059,TRUNCATION,560,56,BUS,2026-04-24,8,120,3.0,2026-04-24 08:00:00,2026-04-24 10:00:00,true,INFREQUENT
TRUTH_0058,GPS_FAULT,3,MEL,RAIL,2026-04-04,7,90,2.5,2026-04-04 07:00:00,2026-04-04 08:30:00,true,STANDARD
TRUTH_0088,GPS_FAULT,210,21,BUS,2026-04-29,13,60,2.0,2026-04-29 13:00:00,2026-04-29 14:00:00,true,FREQUENT
TRUTH_0042,INCIDENT_DELAY,7,AX,BUS,2026-04-29,6,60,3.4,2026-04-29 06:00:00,2026-04-29 07:00:00,true,HIGH_FREQUENCY
TRUTH_0053,TRUNCATION,2810,281,BUS,2026-04-02,8,150,5.9,2026-04-02 08:00:00,2026-04-02 10:30:00,true,STANDARD
TRUTH_0017,TRUNCATION,2610,261,BUS,2026-04-05,16,60,5.9,2026-04-05 16:00:00,2026-04-05 17:00:00,true,FREQUENT
TRUTH_0081,DWELL_SPIKE,330,33,BUS,2026-04-28,18,90,2.2,2026-04-28 18:00:00,2026-04-28 19:30:00,true,STANDARD
TRUTH_0069,DWELL_SPIKE,6,JVL,RAIL,2026-04-18,12,30,2.0,2026-04-18 12:00:00,2026-04-18 12:30:00,true,FREQUENT
TRUTH_0025,BUNCHING,2,KPL,RAIL,2026-04-22,6,60,5.4,2026-04-22 06:00:00,2026-04-22 07:00:00,true,FREQUENT
TRUTH_0087,DWELL_SPIKE,9530,953,OTHER,2026-04-25,19,60,1.5,2026-04-25 19:00:00,2026-04-25 20:00:00,true,INFREQUENT
TRUTH_0005,TRUNCATION,1700,170,BUS,2026-04-20,6,120,4.6,2026-04-20 06:00:00,2026-04-20 08:00:00,true,STANDARD
TRUTH_0015,DWELL_SPIKE,6120,612,OTHER,2026-04-11,6,30,5.6,2026-04-11 06:00:00,2026-04-11 06:30:00,true,INFREQUENT
TRUTH_0076,GPS_FAULT,230,23,BUS,2026-04-06,13,150,4.3,2026-04-06 13:00:00,2026-04-06 15:30:00,true,FREQUENT
TRUTH_0021,DWELL_SPIKE,140,14,BUS,2026-04-16,8,150,2.2,2026-04-16 08:00:00,2026-04-16 10:30:00,true,FREQUENT
TRUTH_0068,CANCELLATION,270,27,BUS,2026-04-21,19,30,3.1,2026-04-21 19:00:00,2026-04-21 19:30:00,true,STANDARD
TRUTH_0073,BUNCHING,10,1,BUS,2026-04-05,16,90,2.2,2026-04-05 16:00:00,2026-04-05 17:30:00,true,HIGH_FREQUENCY
TRUTH_0049,BUNCHING,57,HVH,BUS,2026-04-06,18,120,2.8,2026-04-06 18:00:00,2026-04-06 20:00:00,true,STANDARD
TRUTH_0026,CANCELLATION,1140,114,BUS,2026-04-06,13,150,2.5,2026-04-06 13:00:00,2026-04-06 15:30:00,true,STANDARD
TRUTH_0040,GPS_FAULT,1200,120,BUS,2026-04-19,7,90,5.8,2026-04-19 07:00:00,2026-04-19 08:30:00,true,FREQUENT
TRUTH_0028,GPS_FAULT,1110,111,BUS,2026-04-07,19,30,2.1,2026-04-07 19:00:00,2026-04-07 19:30:00,true,STANDARD
TRUTH_0019,BUNCHING,2300,230,BUS,2026-04-07,14,30,4.7,2026-04-07 14:00:00,2026-04-07 14:30:00,true,FREQUENT
TRUTH_0009,DWELL_SPIKE,250,25,BUS,2026-04-24,11,60,3.8,2026-04-24 11:00:00,2026-04-24 12:00:00,true,FREQUENT
TRUTH_0041,TRUNCATION,390,39,BUS,2026-04-12,11,30,1.5,2026-04-12 11:00:00,2026-04-12 11:30:00,true,INFREQUENT
TRUTH_0072,INCIDENT_DELAY,320,32x,BUS,2026-04-07,8,150,3.5,2026-04-07 08:00:00,2026-04-07 10:30:00,true,STANDARD
TRUTH_0010,GPS_FAULT,70,7,BUS,2026-04-10,15,120,4.0,2026-04-10 15:00:00,2026-04-10 17:00:00,true,FREQUENT
TRUTH_0055,BUNCHING,2030,203,BUS,2026-04-23,16,30,2.6,2026-04-23 16:00:00,2026-04-23 16:30:00,true,INFREQUENT
TRUTH_0037,BUNCHING,1210,121,BUS,2026-04-30,7,60,5.6,2026-04-30 07:00:00,2026-04-30 08:00:00,true,STANDARD
TRUTH_0020,CANCELLATION,9150,915,OTHER,2026-04-12,7,30,5.8,2026-04-12 07:00:00,2026-04-12 07:30:00,true,INFREQUENT
TRUTH_0060,INCIDENT_DELAY,5070,507,OTHER,2026-04-09,8,90,2.6,2026-04-09 08:00:00,2026-04-09 09:30:00,true,INFREQUENT
TRUTH_0046,GPS_FAULT,7400,740,OTHER,2026-04-29,6,60,5.1,2026-04-29 06:00:00,2026-04-29 07:00:00,true,INFREQUENT
TRUTH_0002,CANCELLATION,4,WRL,RAIL,2026-04-02,14,60,3.3,2026-04-02 14:00:00,2026-04-02 15:00:00,true,INFREQUENT
TRUTH_0022,GPS_FAULT,2620,262,BUS,2026-04-18,18,30,3.7,2026-04-18 18:00:00,2026-04-18 18:30:00,true,FREQUENT
TRUTH_0051,DWELL_SPIKE,360,36,BUS,2026-04-21,16,60,5.1,2026-04-21 16:00:00,2026-04-21 17:00:00,true,STANDARD
TRUTH_0003,DWELL_SPIKE,310,31x,BUS,2026-04-12,17,120,2.6,2026-04-12 17:00:00,2026-04-12 19:00:00,true,STANDARD
TRUTH_0030,INCIDENT_DELAY,2020,202,BUS,2026-04-20,9,60,5.5,2026-04-20 09:00:00,2026-04-20 10:00:00,true,INFREQUENT
TRUTH_0001,BUNCHING,1540,154,BUS,2026-04-03,19,60,3.3,2026-04-03 19:00:00,2026-04-03 20:00:00,true,STANDARD
TRUTH_0018,INCIDENT_DELAY,330,33,BUS,2026-04-12,13,60,5.8,2026-04-12 13:00:00,2026-04-12 14:00:00,true,STANDARD
TRUTH_0080,CANCELLATION,9530,953,OTHER,2026-04-10,19,120,1.7,2026-04-10 19:00:00,2026-04-10 21:00:00,true,INFREQUENT
TRUTH_0035,TRUNCATION,57,HVH,BUS,2026-04-15,6,60,5.0,2026-04-15 06:00:00,2026-04-15 07:00:00,true,STANDARD
TRUTH_0006,INCIDENT_DELAY,1140,114,BUS,2026-04-26,14,120,1.5,2026-04-26 14:00:00,2026-04-26 16:00:00,true,STANDARD
TRUTH_0004,GPS_FAULT,390,39,BUS,2026-04-29,10,120,5.8,2026-04-29 10:00:00,2026-04-29 12:00:00,true,INFREQUENT
TRUTH_0056,CANCELLATION,320,32x,BUS,2026-04-15,16,90,4.0,2026-04-15 16:00:00,2026-04-15 17:30:00,true,STANDARD
TRUTH_0043,BUNCHING,2030,203,BUS,2026-04-21,11,90,5.3,2026-04-21 11:00:00,2026-04-21 12:30:00,true,INFREQUENT
TRUTH_0008,CANCELLATION,1210,121,BUS,2026-04-12,7,150,3.8,2026-04-12 07:00:00,2026-04-12 09:30:00,true,STANDARD
TRUTH_0014,CANCELLATION,7400,740,OTHER,2026-04-29,19,120,2.7,2026-04-29 19:00:00,2026-04-29 21:00:00,true,INFREQUENT
TRUTH_0011,TRUNCATION,330,33,BUS,2026-04-02,6,90,2.4,2026-04-02 06:00:00,2026-04-02 07:30:00,true,STANDARD
